"H","G","FLOW","LOGFLOW","NGATE","MODEL1","MODEL2","MODEL3","MODEL4","MODEL5","MODEL6","MODEL7","MODEL8"
0.31,1,1.81,0.593326845277734,1,0.610330619898671,0.450409269165117,0.610063770176411,1.06325811579696,0.605002624390364,1.26229948926116,0.407565789988055,-0.386377079371497
0.33,1,1.86,0.62057648772511,1,0.640914421803616,0.481391043742877,0.64016050997473,1.15120037423632,0.635799600492166,1.33961647571331,0.43836276608778,-0.365751410015619
0.35,1,1.91,0.647103242058538,1,0.66969810576797,0.510549276289398,0.668485799597146,1.23396647970277,0.664783911531294,1.41238269719328,0.467347077124954,-0.346339737453194
0.38,1,1.96,0.672944473242426,1,0.709927461884248,0.551302118152445,0.708074483405936,1.34964406757828,0.705293672964963,1.51408400272384,0.507856838555891,-0.31920912104935
0.4,1,2.01,0.698134722070984,1,0.735019192487598,0.576720355680107,0.732766615842761,1.42179413787591,0.730560297112801,1.57751682906602,0.533123462702026,-0.302287296202329
0.42,1,2.06,0.72270598280149,1,0.758886438100306,0.60089817456813,0.756253763815429,1.4904232601947,0.754593901405521,1.63785411190035,0.557157066993126,-0.286191262165317
0.46,1,2.16,0.770108221696074,1,0.803388148869731,0.64597896523203,0.800046762925551,1.61838579937284,0.799405796516366,1.75035608857908,0.60196896210095,-0.256179376299921
0.5,1,2.26,0.815364813284194,1,0.844176889264621,0.687298470379,0.840185922542842,1.73567186996576,0.840478841230304,1.85347153832969,0.643042006812119,-0.228671511991797
0.54,1,2.35,0.854415328156068,1,0.881824806681478,0.72543628249132,0.877234278334752,1.84392665442542,0.878389170906553,1.948646871008,0.680952336485811,-0.20328181390943
0.58,1,2.44,0.89199803930511,1,0.916781209752161,0.760847556843385,0.911633983471915,1.94444211821591,0.913589225933024,2.03701795551319,0.716152391509909,-0.179707268996812
0.63,1,2.53,0.928219302739429,1,0.957232467209665,0.801825187545756,0.951441034733792,2.06075777277648,0.954322435397251,2.13928023587109,0.75688560097139,-0.152427002666907
0.67,1,2.61,0.959350221334602,1,0.987345449541844,0.832330015996428,0.981074452992901,2.14734621207082,0.984645310235391,2.21540697296699,0.787208475807485,-0.132118853312771
0.71,1,2.69,0.989541193613748,1,1.01571174312393,0.861065426855358,1.00898899938043,2.22891213147206,1.01320932161172,2.28711801606753,0.815772487181885,-0.112988668187512
0.75,1,2.76,1.01523067972906,1,1.04252291837398,0.888225483356626,1.03537319346121,2.30600638254754,1.04020737522203,2.35489766230043,0.842770540790382,-0.0949072524933877
0.79,1,2.83,1.04027671165515,1,1.06794066131751,0.913973975470182,1.06038614633115,2.37909388572431,1.06580228407041,2.41915465993981,0.868365449637029,-0.0777655654214063
0.83,1,2.9,1.06471073699243,1,1.09210268337683,0.938450406592484,1.08416337629035,2.44857062360542,1.0901327194507,2.48023714857293,0.89269588501568,-0.0614707345984187
0.92,1,3.04,1.11185751541813,1,1.1424629252269,0.989465962654802,1.13372160648857,2.59337908847883,1.1408439805803,2.60754970928565,0.943407146141865,-0.0275078643081238
1,1,3.16,1.15057202759882,1,1.1832516656218,1.03078546780177,1.17386076610586,2.71066515907175,1.18191702529424,2.71066515903626,0.984480190853034,0
1.08,1,3.28,1.18784342239605,1,1.22089958303865,1.06892327991409,1.21090912189777,2.8189199435314,1.21982735497049,2.80584049171457,1.02239052052673,0.0253896980823676
1.17,1,3.39,1.22082992139236,1,1.26005499470967,1.1085882025964,1.24944096435546,2.93150945556047,1.25925568638711,2.90482682582389,1.06181885194069,0.0517960479903899
1.25,1,3.5,1.25276296849537,1,1.29240936239882,1.14136358250067,1.28128007280594,3.0245428911616,1.29183556941174,2.98661986829993,1.09439873496313,0.0736157842105319
1.33,1,3.61,1.28370777234479,1,1.32275592787897,1.17210503360728,1.31114335428636,3.11180298761712,1.32239365551133,3.06333711226424,1.12495682106065,0.0940814616833795
1.42,1,3.72,1.31372366828506,1,1.3547865194811,1.20455242427813,1.34266384294345,3.20390542057805,1.35464750567565,3.1443116367741,1.1572106712228,0.115682843804285
1.5,1,3.82,1.34025042261848,1,1.38159769473115,1.2317124807794,1.36904803702422,3.28099967165353,1.38164555928597,3.212091283007,1.1842087248313,0.13376425949841
0.08,2,1.22,0.198850858745165,1,0.14295975839596,0.0819352694432944,0.153235694213246,-0.615850616236251,0.13533815343168,-0.278586647252134,0.0838734959859915,-0.14009892383651
