"","LATID","GATENUM","FLOWERROR","VOLTRUTH"
"350"," 16-4",42,3.40898929028526,28.2413139988222
"351"," 16-4",43,3.24179906714329,28.8952016291176
"352"," 16-4a",2,1.24674767766852,29.3949992654751
"353"," 16-4a",3,1.35072122095961,28.9713169351409
"354"," 16-4a",4,1.3187472118695,28.8978703003162
"355"," 16-4a",5,1.43311790575827,28.5238090284294
"356"," 16-4a",6,1.37648254030914,26.458413512363
"357"," 16-4a",7,1.48537099342883,27.3545361991873
"358"," 16-4a",8,1.45839853075882,29.3415258865901
"359"," 16-4a",9,1.5221438628018,28.15993548621
"360"," 16-4a",10,1.54860797896833,27.8994485752501
"361"," 16-4a",11,1.66942316463857,28.9616274259926
"362"," 16-4a",12,1.64260417371037,28.5297363332063
"363"," 16-4a",13,1.77793473645237,27.8303526080544
"364"," 16-4a",14,1.78277849855722,27.7694813759579
"365"," 16-4a",15,1.79342972276799,27.9990278902337
"366"," 16-4a",16,1.94136944752495,28.109874040286
"367"," 16-4a",17,2.05287626272006,27.6246003433654
"368"," 16-4b",10,1.57358239285563,28.8033356769689
"369"," 16-4b",11,1.57288349351392,27.4814248941662
"370"," 16-4b",12,1.64673882582361,28.3449528415977
"371"," 16-4b",13,1.773931335476,29.0624322603992
"372"," 16-4b",14,1.81686551099796,27.4941139469232
"373"," 16-4b",15,1.92775188925682,28.6494986868749
"374"," 16-4b",16,1.90119958951257,29.1968649384793
"375"," 16-4b",17,1.99638750906884,28.9398565352008
"376"," 16-4c",14,1.80343709872293,28.6257073011358
"377"," 16-4c",15,1.95612402151834,28.9388417633876
"378"," 16-4c",16,1.76349047780026,28.1552959600447
"379"," 16-4c",17,1.85627641752269,27.5041227229033
"380"," 16-4c",18,1.99124390213682,29.1438334232194
"381"," 16-4c",19,2.04961745358175,27.8573352297327
"382"," 16-4c",20,2.1079734684944,26.8806238628672
"383"," 16-4c",21,2.04866839665825,29.2245484912872
"384"," 16-4c",22,2.252364901492,27.7795246970901
"385"," 16-4c",23,2.24639182648553,28.7348331416179
"386"," 16-4c",24,2.42874969372052,27.8523607085608
"387"," 16-4c",25,2.49014387578713,29.7970128030846
"388"," 16-4d",15,1.89383214279047,27.5373403209909
"389"," 16-4d",16,1.91556347426564,28.0530703878487
"390"," 16-4d",17,1.94437612345439,29.8963221159951
"391"," 16-4d",18,2.01538569968772,28.5832367103426
"392"," 16-4d",19,2.05794766697222,29.3943908514769
"393"," 16-4d",20,2.09872455318307,28.1283766316375
"394"," 16-4d",21,2.26607935723847,28.3513621889122
"395"," 16-4d",22,2.24716760835388,27.8756560785418
"396"," 16-4d",23,2.09633046353954,28.7934739388748
"397"," 16-4d",24,2.23328554423691,29.5258186075379
"398"," 16-4d",25,2.40614269633588,27.851454336882
"399"," 16-4d",26,2.46782366704805,30.6746989952862
"400"," 16-4d",27,2.41670797213248,28.9629271081988
"401"," 16-4d",28,2.49380856730595,29.2375974139362
"402"," 16-4d",29,2.51409096142689,28.4051382332677
