"","LATID","GATENUM","FLOWERROR","hsd","tsd","gsd"
"920"," 35-1c",13,0.613438311329263,8.67563837595886,88.0850644095014,8.0107277438748
"921"," 35-1c",14,0.684803749844102,9.11944302750817,88.6808805423134,7.84121378115097
"922"," 35-2",1,0.541230283027263,6.86634116278086,76.3357265030149,7.04795424944347
"923"," 35-2",2,0.600610503349293,7.2620296207937,74.7283310962079,7.10415724144763
"924"," 35-2",3,0.548088518485146,7.68602732540364,75.0587622406586,6.55936165693758
"925"," 35-2",4,0.558605032256338,6.6288118433042,77.2831968764869,7.03903955562778
"926"," 35-2",5,0.685172537204466,7.04646327531004,77.7042923996545,6.97403759558088
"927"," 36-1",1,0.562438136287869,13.5127254574225,146.090658454963,12.4494035948965
"928"," 36-2",1,0.574433898077922,8.46386467525108,86.5097080154103,7.96341063719346
"929"," 36-2",2,0.611796420955334,8.81150239768118,86.5756071242152,7.55823292692693
"930"," 36-2",3,0.473937214879977,8.5565765639553,81.9446608341061,7.86379202930177
"931"," 36-2",4,0.507692057677063,8.62058815179657,86.4714563391185,7.947654221847
"932"," 36-2",5,0.526968498613781,8.25439067892001,85.1567672287131,7.81609304050947
"933"," 36-2",6,0.627365798925044,9.52928604557263,89.4369067324653,7.60348513152893
"934"," 36-2",7,0.682356352974582,8.62823463468478,91.2558900174827,8.08293263403348
"935"," 36-2a",4,0.617916141469984,8.92461128501148,88.1962294337118,7.42048865131027
"936"," 36-2a",5,0.592116187107816,8.85498886941672,88.6154775064683,8.40215008941059
"937"," 36-3",1,0.572774336662113,8.7804190750909,85.5678411265114,8.26141507768771
"938"," 36-3",2,0.612001177557062,9.02906203811633,88.7909642288907,7.78039896562622
"939"," 37-1",1,0.56704352780707,14.4332397014443,147.853628715995,13.3543708321962
"940"," 37-1",2,0.58041288520327,14.300540510437,142.732376256211,13.2953423022613
"941"," 37-1",3,0.561820961577185,14.7325402889865,145.838055435396,13.1256353283372
"942"," 37-1",4,0.590933900648656,14.4993753005715,145.305477427513,13.320556616377
"943"," 37-1",5,0.595997555410064,14.1890470098154,149.777175922246,13.2264071970704
"944"," 37-1",6,0.567337252562129,15.1364360089301,142.815471964028,13.0702999649935
"945"," 37-2",1,0.571991018842744,7.94650905414345,75.8440226465749,6.97618428986161
