LATID,CLASS,PARENT,APPROXIMATE_SUBLATERAL_HEAD_STATION,APPROXIMATE_SUB_SUBLATERAL_HEAD_STATION,APPROXIMATE_SUB_SUB_SUBLATERAL_HEAD_STATION,NUM_GATES,NUM_GATES_COL_COUNT,LENGTH,NOTES,UPSTREAM_LENGTH,UPSTREAM_GATE_COUNT,TURNOUT_1,TURNOUT_2,TURNOUT_3,TURNOUT_4,TURNOUT_5,TURNOUT_6,TURNOUT_7,TURNOUT_8,TURNOUT_9,TURNOUT_10,TURNOUT_11,TURNOUT_12,TURNOUT_13,TURNOUT_14,TURNOUT_15,TURNOUT_16,TURNOUT_17,TURNOUT_18,TURNOUT_19,TURNOUT_20,TURNOUT_21,TURNOUT_22,TURNOUT_23,TURNOUT_24,TURNOUT_25,TURNOUT_26,TURNOUT_27,TURNOUT_28,TURNOUT_29,TURNOUT_30,TURNOUT_31,TURNOUT_32,TURNOUT_33,TURNOUT_34,TURNOUT_35,TURNOUT_36,TURNOUT_37,TURNOUT_38,TURNOUT_39,TURNOUT_40,TURNOUT_41,TURNOUT_42,TURNOUT_43,TURNOUT_44,TURNOUT_45,TURNOUT_46,TURNOUT_47,TURNOUT_48,TURNOUT_49,TURNOUT_50,TURNOUT_51,TURNOUT_52,TURNOUT_53,TURNOUT_54,TURNOUT_55,TURNOUT_56,TURNOUT_57,TURNOUT_58,TURNOUT_59,TURNOUT_60,TURNOUT_61,TURNOUT_62,TURNOUT_63,TURNOUT_64,TURNOUT_65
 38-2,2,38-2,,,,4,4,"3,110",,,0,90,515,1727,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 39-3,2,39-3,,,,4,3,"2,481",,,0,64,1184,1193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 40-1,2,40-1,,,,2,2,"3,786",,,0,2502,2522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-1,2,41-1,,,,56,53,"39,137",,,0,178,1983,2104,2119,3305,4670,4677,5865,7225,7285,9830,9904,9928,11200,11240,11570,14150,14190,14554,15990,17590,17660,17670,17675,18345,19000,19030,19785,19790,19794,22100,22479,22520,22598,22600,22679,23940,25730,26020,27230,27290,28740,28748,28755,31200,31336,33720,33850,33890,35170,36483,39050,39100,,,,,,,,,,,,
 41-1c,3,41-1,4677,,,16,16,"12,526",,4677,6,1275,2610,3800,3860,3865,4740,5030,6550,6845,7820,8670,9960,10570,11490,11495,12490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-1c-1,4,41-1,,3800,,2,2,"2,701",,8477,8,1310,2600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-1f,3,41-1,9928,,,4,3,"3,849",,9928,12,1235,2535,3765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-1g,3,41-1,11200,,,3,2,"2,117",,11200,13,1445,2110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-1k,3,41-1,17660,,,2,2,"1,247",,17660,21,1220,1223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-1n,3,41-1,19000,,,18,17,"14,265",,19000,25,1330,2595,3130,4170,4190,5155,6804,6866,6890,7196,7321,7431,10635,10640,10645,11665,11673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-1n-1,4,41-1,,6890,,2,2,"1,582",,25890,33,1000,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-1n-2,4,41-1,,6890,,10,10,"5,614",,25890,33,369,370,1218,1220,2160,2800,2830,3455,3460,4690,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-1o,3,41-1,19785,,,13,12,"9,702",,19785,27,593,600,1960,2000,3190,4300,4400,5970,6670,6820,8340,8350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 41-1o-1,4,41-1,,5970,,2,2,"1,486",,5970,34,365,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
